Gene,OnsetIndex,Rank,Percentile,Phase
ENSG00000082512.15,0,1,0.0,Phase I
ENSG00000170385.10,0,1,0.0,Phase I
ENSG00000066027.12,0,1,0.0,Phase I
ENSG00000123685.9,40,3436,98.508746773731,Phase IV
ENSG00000117707.15,27,3369,96.58732434757673,Phase IV
ENSG00000152104.12,17,3246,93.05993690851734,Phase III
ENSG00000092969.12,26,3361,96.35790077430455,Phase IV
ENSG00000136628.18,0,1,0.0,Phase I
ENSG00000143507.18,0,1,0.0,Phase I
ENSG00000154305.17,0,1,0.0,Phase I
ENSG00000187554.13,0,1,0.0,Phase I
ENSG00000143502.15,16,3231,92.62976770863206,Phase III
ENSG00000143753.13,0,1,0.0,Phase I
ENSG00000154380.17,8,3128,89.67593920275309,Phase III
ENSG00000196187.12,0,1,0.0,Phase I
ENSG00000143799.13,0,1,0.0,Phase I
ENSG00000154370.16,0,1,0.0,Phase I
ENSG00000215811.6,11,3155,90.4502437625466,Phase III
ENSG00000116574.6,0,1,0.0,Phase I
ENSG00000069248.12,0,1,0.0,Phase I
ENSG00000116903.7,0,1,0.0,Phase I
ENSG00000212916.4,6,3102,88.93031258961858,Phase II
ENSG00000168264.10,0,1,0.0,Phase I
ENSG00000143669.13,0,1,0.0,Phase I
ENSG00000077585.14,0,1,0.0,Phase I
ENSG00000186197.14,17,3246,93.05993690851734,Phase III
ENSG00000180875.5,2,2968,85.08746773731,Phase II
ENSG00000117020.17,0,1,0.0,Phase I
ENSG00000153187.20,0,1,0.0,Phase I
ENSG00000162711.17,0,1,0.0,Phase I
ENSG00000162722.9,0,1,0.0,Phase I
ENSG00000115705.21,4,3014,86.40665328362489,Phase II
ENSG00000171863.14,0,1,0.0,Phase I
ENSG00000134321.12,0,1,0.0,Phase I
ENSG00000115738.10,0,1,0.0,Phase I
ENSG00000119185.12,0,1,0.0,Phase I
ENSG00000151694.13,0,1,0.0,Phase I
ENSG00000134308.14,0,1,0.0,Phase I
ENSG00000134318.14,0,1,0.0,Phase I
ENSG00000071575.11,0,1,0.0,Phase I
ENSG00000079785.15,0,1,0.0,Phase I
ENSG00000163029.16,0,1,0.0,Phase I
ENSG00000115884.11,13,3192,91.5113277889303,Phase III
ENSG00000143878.9,0,1,0.0,Phase I
ENSG00000143869.7,5,3079,88.27071981646114,Phase II
ENSG00000084674.14,4,3014,86.40665328362489,Phase II
ENSG00000138031.14,0,1,0.0,Phase I
ENSG00000115138.11,27,3369,96.58732434757673,Phase IV
ENSG00000143970.16,0,1,0.0,Phase I
ENSG00000084731.15,0,1,0.0,Phase I
ENSG00000084733.11,0,1,0.0,Phase I
ENSG00000115163.15,0,1,0.0,Phase I
ENSG00000084693.16,0,1,0.0,Phase I
ENSG00000138080.13,18,3289,94.29308861485518,Phase IV
ENSG00000115211.15,0,1,0.0,Phase I
ENSG00000213639.10,0,1,0.0,Phase I
ENSG00000119801.13,0,1,0.0,Phase I
ENSG00000021574.12,0,1,0.0,Phase I
ENSG00000091106.19,0,1,0.0,Phase I
ENSG00000115760.14,0,1,0.0,Phase I
ENSG00000152689.18,0,1,0.0,Phase I
ENSG00000055332.18,0,1,0.0,Phase I
ENSG00000115828.17,0,1,0.0,Phase I
ENSG00000138061.12,0,1,0.0,Phase I
ENSG00000115904.12,0,1,0.0,Phase I
ENSG00000011566.15,0,1,0.0,Phase I
ENSG00000152518.8,0,1,0.0,Phase I
ENSG00000138032.21,0,1,0.0,Phase I
ENSG00000171132.14,0,1,0.0,Phase I
ENSG00000250565.7,0,1,0.0,Phase I
ENSG00000171150.9,0,1,0.0,Phase I
ENSG00000143933.17,0,1,0.0,Phase I
ENSG00000095002.14,0,1,0.0,Phase I
ENSG00000116062.15,0,1,0.0,Phase I
