,ENSG00000230092.7,ENSG00000215912.12,ENSG00000116213.16,ENSG00000162408.11,ENSG00000162441.12,ENSG00000116685.16,ENSG00000142632.17,ENSG00000157191.20,ENSG00000218510.8,ENSG00000117640.18,ENSG00000158062.20,ENSG00000009780.15,ENSG00000242125.3,ENSG00000180098.9,ENSG00000221539.1,ENSG00000229388.1,ENSG00000134686.18,ENSG00000284154.1,ENSG00000146463.11,ENSG00000092853.14,ENSG00000271554.1,ENSG00000196449.4,ENSG00000214114.9,ENSG00000171960.11,ENSG00000117408.11,ENSG00000222009.8,ENSG00000085998.14,ENSG00000123472.12,ENSG00000226147.1,ENSG00000162604.12,ENSG00000162434.12,ENSG00000162433.15,ENSG00000066557.6,ENSG00000116754.13,ENSG00000162623.16,ENSG00000162613.16,ENSG00000197147.13,ENSG00000239794.3,ENSG00000067208.14,ENSG00000154511.12,ENSG00000283761.1,ENSG00000143126.8,ENSG00000213366.13,ENSG00000168679.18,ENSG00000235527.6,ENSG00000116824.5,ENSG00000134247.10,ENSG00000196369.11,ENSG00000276216.1,ENSG00000162825.16
ENSG00000158062.20,0.3577718360815092,0.346471274810948,0.0,0.0,0.0,0.0,0.006055461860393411,0.0,0.0,0.0,0.0,0.0,0.07333320466167498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09895237614986682,0.0,0.0,0.0,0.0,0.0,0.03498669458963105,0.036034804564775876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19186757149001363,0.0,0.0,0.19064895860559322,0.0,0.0,0.0,0.45635328402769354,0.0
ENSG00000009780.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07668774186681945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000242125.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11370626932595604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03241103447365358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0429986138702451,0.0,0.0,0.10051649499742767,0.0,0.0,0.0,0.0,0.0
ENSG00000180098.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23890812724152954,0.0,0.0,0.0,0.0
ENSG00000221539.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000229388.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000134686.18,0.0,0.0,0.0,0.0,0.0,0.0,0.2265579038289599,0.1200189687056377,0.0,0.012999914899367235,0.0,0.0,0.05051100347803282,0.0,0.0,0.0,0.0,0.0,0.09242523801670936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46041140098408656,0.2332990627462306,0.0,0.38295385783763647,0.0,0.0,0.0,0.0,0.02402400121786158,0.0,0.22228944555909552,0.0,0.12292429856591024,0.0,0.0,0.0,0.1897225423960732,0.0,0.22643725033813714,0.4492472846555632,0.009448671209980459,0.2461522193482747,0.04641122627810427,0.0
ENSG00000284154.1,0.0,0.0,0.0,0.0,0.0014459208925441756,0.0,0.08699833449807474,0.015634756810948572,0.0,0.13167627759941275,0.0,0.0,0.15803806337670365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3951782218655972,0.0,0.0,0.16000603342847683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13829482675307733,0.0,0.0,0.1778979586608472,0.41773639531485873,0.0,0.05157741008447012,0.0,0.0
ENSG00000146463.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000092853.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1003985491439228,0.0,0.27219398059201133,0.3204181063867817,0.0,0.296897963711979,0.0,0.39844222137083407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29184928235779395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1370115126766973,0.0,0.08499000757891678,0.0,0.0,0.18091997908824672,0.11362222122779447,0.0,0.0,0.0,0.1999203641578788,0.0,0.0,0.0
ENSG00000271554.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000196449.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3534238500797053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04968879212789341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000214114.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16673718876233296,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000171960.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25072748470540995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059948124473923455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1746975704790151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2881634782977301,0.0,0.0,0.0,0.0,0.0,0.18640606630986378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000117408.11,0.25566734534890945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6182602962921141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19267465765331288,0.0,0.0,0.0,0.0,0.0,0.0,0.036929262200824445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30866597230993587,0.0,0.0,0.07826090128521562,0.0,0.0,0.0,0.0,0.0,0.0
